hour,platform,count
0,desktop,2234
0,touch,6981
1,desktop,2805
1,touch,8881
2,desktop,3989
2,touch,12343
3,desktop,6122
3,touch,20066
4,desktop,9375
4,touch,29063
5,desktop,13932
5,touch,40620
6,desktop,18494
6,touch,43138
7,desktop,20674
7,touch,43224
8,desktop,22120
8,touch,37157
9,desktop,23299
9,touch,37206
10,desktop,24227
10,touch,36577
11,desktop,25475
11,touch,37108
12,desktop,26354
12,touch,37216
13,desktop,27013
13,touch,38022
14,desktop,25864
14,touch,38510
15,desktop,25349
15,touch,39496
16,desktop,25551
16,touch,40641
17,desktop,24834
17,touch,46080
18,desktop,21593
18,touch,43867
19,desktop,16121
19,touch,36430
20,desktop,10518
20,touch,22930
21,desktop,6232
21,touch,14631
22,desktop,3612
22,touch,9008
23,desktop,2477
23,touch,6906
